Belegnummer,Belegdatum,FilialeID,ProduktID,KundeID,Menge,Rabatt
B100516,2025-04-05,F1,P12,K0038,3,0.03
B100517,2025-04-05,F1,P17,K0041,1,0.0
B100518,2025-04-05,F2,P09,K0093,2,0.0
B100519,2025-04-05,F2,P01,K0055,1,0.0
B100520,2025-04-05,F2,P16,K0080,1,0.0
B100521,2025-04-05,F3,P10,K0120,2,0.05
B100522,2025-04-05,F3,P15,K0096,2,0.05
B100523,2025-04-05,F3,P14,K0124,2,0.05
B100524,2025-04-05,F3,P10,K0084,2,0.1
B100525,2025-04-05,F3,P12,K0096,3,0.0
B100526,2025-04-05,F3,P15,K0096,1,0.0
B100527,2025-04-05,F3,P16,K0089,1,0.0
B100528,2025-04-05,F3,P11,K0017,2,0.05
B100529,2025-04-05,F3,P16,K0125,1,0.0
B100530,2025-04-05,F4,P18,K0154,1,0.1
B100531,2025-04-05,F4,P05,K0159,1,0.1
B100532,2025-04-05,F4,P16,K0160,1,0.0
B100533,2025-04-07,F1,P12,K0024,3,0.0
B100534,2025-04-07,F1,P12,K0030,1,0.0
B100535,2025-04-07,F1,P17,K0036,1,0.05
B100536,2025-04-07,F1,P18,K0015,1,0.0
B100537,2025-04-07,F1,P18,K0008,1,0.05
B100538,2025-04-07,F1,P18,K0016,1,0.0
B100539,2025-04-07,F2,P09,K0061,1,0.0
B100540,2025-04-07,F3,P16,K0084,1,0.0
B100541,2025-04-07,F3,P01,K0155,1,0.1
B100542,2025-04-07,F3,P13,K0119,2,0.0
B100543,2025-04-07,F3,P18,K0132,1,0.0
B100544,2025-04-07,F3,P18,K0089,1,0.03
B100545,2025-04-07,F4,P03,K0145,1,0.0
B100546,2025-04-07,F4,P13,K0150,2,0.1
B100547,2025-04-07,F4,P05,K0146,1,0.05
B100548,2025-04-08,F1,P08,K0025,1,0.1
B100549,2025-04-08,F1,P16,K0020,1,0.03
B100550,2025-04-08,F1,P12,K0009,2,0.1
B100551,2025-04-08,F2,P11,K0066,2,0.0
B100552,2025-04-08,F2,P18,K0059,1,0.05
B100553,2025-04-08,F2,P16,K0048,1,0.05
B100554,2025-04-08,F2,P05,K0069,1,0.0
B100555,2025-04-08,F2,P18,K0071,1,0.1
B100556,2025-04-08,F3,P11,K0132,3,0.1
B100557,2025-04-09,F1,P11,K0055,2,0.0
B100558,2025-04-09,F1,P01,K0028,1,0.0
B100559,2025-04-09,F1,P18,K0038,1,0.1
B100560,2025-04-09,F2,P10,K0081,3,0.0
B100561,2025-04-09,F3,P11,K0087,2,0.0
B100562,2025-04-09,F3,P17,K0096,1,0.05
B100563,2025-04-09,F3,P18,K0094,1,0.1
B100564,2025-04-09,F3,P04,K0124,1,0.0
B100565,2025-04-09,F3,P14,K0125,2,0.0
B100566,2025-04-09,F3,P18,K0124,1,0.0
B100567,2025-04-10,F1,P17,K0029,1,0.0
B100568,2025-04-10,F2,P11,K0057,2,0.0
B100569,2025-04-10,F3,P12,K0113,3,0.0
B100570,2025-04-10,F3,P08,K0067,3,0.0
B100571,2025-04-11,F1,P08,K0032,2,0.1
B100572,2025-04-11,F1,P18,K0033,1,0.1
B100573,2025-04-11,F1,P16,K0012,1,0.05
B100574,2025-04-11,F2,P18,K0082,1,0.05
B100575,2025-04-11,F2,P11,K0076,3,0.1
B100576,2025-04-11,F2,P16,K0052,1,0.0
B100577,2025-04-11,F2,P15,K0070,1,0.05
B100578,2025-04-11,F3,P08,K0111,2,0.0
B100579,2025-04-11,F3,P16,K0125,1,0.0
B100580,2025-04-11,F3,P14,K0106,1,0.03
B100581,2025-04-11,F3,P14,K0101,1,0.0
B100582,2025-04-11,F3,P11,K0093,2,0.05
B100583,2025-04-11,F4,P01,K0151,1,0.1
B100584,2025-04-12,F1,P15,K0058,1,0.05
B100585,2025-04-12,F1,P08,K0036,1,0.0
B100586,2025-04-12,F1,P10,K0006,2,0.1
B100587,2025-04-12,F1,P10,K0001,3,0.03
B100588,2025-04-12,F1,P12,K0089,3,0.05
B100589,2025-04-12,F1,P11,K0043,2,0.0
B100590,2025-04-12,F2,P15,K0078,2,0.05
B100591,2025-04-12,F2,P15,K0078,1,0.1
B100592,2025-04-12,F3,P16,K0124,1,0.05
B100593,2025-04-12,F3,P18,K0112,1,0.1
B100594,2025-04-12,F3,P01,K0086,1,0.0
B100595,2025-04-12,F3,P12,K0122,2,0.0
B100596,2025-04-12,F3,P11,K0133,2,0.0
B100597,2025-04-12,F3,P16,K0103,1,0.0
B100598,2025-04-12,F3,P11,K0104,3,0.05
B100599,2025-04-12,F4,P16,K0153,1,0.05
B100600,2025-04-12,F4,P17,K0159,1,0.05
B100601,2025-04-14,F1,P15,K0035,2,0.05
B100602,2025-04-14,F1,P03,K0024,1,0.0
B100603,2025-04-14,F2,P02,K0077,1,0.1
B100604,2025-04-14,F2,P16,K0057,1,0.0
B100605,2025-04-14,F3,P12,K0109,3,0.0
B100606,2025-04-14,F3,P17,K0126,1,0.03
B100607,2025-04-14,F4,P02,K0158,1,0.03
B100608,2025-04-14,F4,P01,K0137,1,0.0
B100609,2025-04-15,F1,P08,K0031,1,0.0
B100610,2025-04-15,F1,P08,K0006,2,0.1
B100611,2025-04-15,F2,P05,K0075,1,0.08
B100612,2025-04-15,F3,P16,K0099,1,0.05
B100613,2025-04-15,F3,P14,K0131,2,0.0
B100614,2025-04-15,F3,P18,K0108,1,0.0
B100615,2025-04-15,F3,P10,K0124,3,0.0
B100616,2025-04-15,F4,P18,K0143,1,0.0
B100617,2025-04-15,F4,P18,K0146,1,0.0
B100618,2025-04-15,F4,P13,K0158,1,0.03
B100619,2025-04-16,F1,P06,K0002,1,0.0
B100620,2025-04-16,F1,P10,K0029,3,0.05
B100621,2025-04-16,F1,P10,K0025,1,0.1
B100622,2025-04-16,F1,P04,K0007,1,0.1
B100623,2025-04-16,F2,P05,K0083,1,0.0
B100624,2025-04-16,F2,P10,K0073,3,0.1
B100625,2025-04-16,F2,P02,K0081,1,0.05
B100626,2025-04-16,F2,P08,K0067,2,0.05
B100627,2025-04-16,F2,P08,K0050,2,0.0
B100628,2025-04-16,F3,P05,K0093,1,0.03
B100629,2025-04-16,F3,P02,K0134,1,0.0
B100630,2025-04-16,F3,P01,K0132,1,0.0
B100631,2025-04-16,F4,P18,K0153,1,0.1
B100632,2025-04-16,F4,P14,K0161,2,0.05
B100633,2025-04-17,F1,P17,K0023,1,0.0
B100634,2025-04-17,F1,P04,K0020,1,0.0
B100635,2025-04-17,F1,P17,K0093,1,0.05
B100636,2025-04-17,F2,P15,K0073,1,0.03
B100637,2025-04-17,F2,P04,K0041,1,0.0
B100638,2025-04-17,F2,P12,K0048,2,0.05
B100639,2025-04-17,F2,P11,K0073,2,0.0
B100640,2025-04-17,F3,P15,K0114,1,0.05
B100641,2025-04-17,F3,P06,K0062,1,0.05
B100642,2025-04-17,F3,P03,K0123,1,0.1
B100643,2025-04-17,F4,P12,K0150,1,0.05
B100644,2025-04-18,F1,P12,K0039,3,0.1
B100645,2025-04-18,F1,P02,K0021,1,0.0
B100646,2025-04-18,F1,P18,K0001,1,0.0
B100647,2025-04-18,F1,P12,K0022,2,0.05
B100648,2025-04-18,F2,P10,K0051,2,0.05
B100649,2025-04-18,F2,P03,K0081,1,0.0
B100650,2025-04-18,F2,P18,K0046,1,0.1
B100651,2025-04-18,F3,P05,K0116,1,0.1
B100652,2025-04-18,F3,P08,K0117,1,0.0
B100653,2025-04-18,F3,P10,K0090,3,0.08
B100654,2025-04-18,F4,P02,K0138,1,0.05
B100655,2025-04-19,F1,P08,K0012,2,0.08
B100656,2025-04-19,F1,P13,K0034,2,0.1
B100657,2025-04-19,F1,P06,K0017,1,0.0
B100658,2025-04-19,F1,P13,K0023,2,0.0
B100659,2025-04-19,F1,P16,K0026,1,0.1
B100660,2025-04-19,F1,P12,K0011,1,0.1
B100661,2025-04-19,F2,P12,K0076,3,0.05
B100662,2025-04-19,F2,P13,K0048,2,0.03
B100663,2025-04-19,F2,P07,K0078,1,0.0
B100664,2025-04-19,F3,P17,K0117,1,0.0
B100665,2025-04-19,F3,P08,K0088,2,0.0
B100666,2025-04-19,F3,P09,K0131,2,0.03
B100667,2025-04-19,F3,P11,K0115,1,0.0
B100668,2025-04-19,F3,P12,K0117,2,0.0
B100669,2025-04-19,F3,P10,K0126,2,0.03
B100670,2025-04-19,F3,P09,K0108,2,0.05
B100671,2025-04-19,F3,P03,K0085,1,0.03
B100672,2025-04-19,F4,P16,K0014,1,0.0
B100673,2025-04-19,F4,P12,K0156,3,0.1
B100674,2025-04-19,F4,P05,K0149,1,0.05
B100675,2025-04-21,F1,P02,K0029,1,0.0
B100676,2025-04-21,F1,P17,K0022,1,0.1
B100677,2025-04-21,F1,P01,K0031,1,0.05
B100678,2025-04-21,F2,P01,K0129,1,0.05
B100679,2025-04-21,F2,P12,K0080,2,0.0
B100680,2025-04-21,F3,P14,K0108,1,0.0
B100681,2025-04-21,F3,P02,K0065,1,0.05
B100682,2025-04-21,F3,P18,K0124,1,0.0
B100683,2025-04-21,F4,P16,K0141,1,0.1
B100684,2025-04-22,F1,P16,K0019,1,0.05
B100685,2025-04-22,F1,P09,K0004,3,0.03
B100686,2025-04-22,F2,P01,K0057,1,0.05
B100687,2025-04-22,F2,P10,K0060,3,0.05
B100688,2025-04-22,F3,P08,K0087,1,0.05
B100689,2025-04-22,F3,P17,K0114,1,0.0
B100690,2025-04-22,F3,P08,K0096,2,0.03
B100691,2025-04-22,F4,P13,K0151,2,0.1
B100692,2025-04-22,F4,P02,K0153,1,0.1
B100693,2025-04-22,F4,P18,K0139,1,0.08
B100694,2025-04-23,F1,P10,K0022,1,0.05
B100695,2025-04-23,F1,P01,K0045,1,0.05
B100696,2025-04-23,F1,P10,K0030,1,0.03
B100697,2025-04-23,F2,P11,K0056,2,0.0
B100698,2025-04-23,F3,P14,K0119,1,0.05
B100699,2025-04-23,F3,P12,K0100,3,0.08
B100700,2025-04-23,F3,P13,K0117,2,0.0
B100701,2025-04-23,F3,P12,K0159,1,0.1
B100702,2025-04-23,F4,P01,K0158,1,0.0
B100703,2025-04-24,F1,P09,K0008,3,0.0
B100704,2025-04-24,F1,P11,K0019,2,0.05
B100705,2025-04-24,F1,P10,K0037,2,0.1
B100706,2025-04-24,F1,P18,K0005,1,0.03
B100707,2025-04-24,F1,P15,K0024,1,0.03
B100708,2025-04-24,F2,P09,K0058,2,0.0
B100709,2025-04-24,F2,P13,K0058,2,0.03
B100710,2025-04-24,F2,P02,K0059,1,0.05
B100711,2025-04-24,F3,P13,K0114,1,0.0
B100712,2025-04-24,F3,P12,K0037,1,0.03
B100713,2025-04-24,F3,P15,K0112,2,0.1
B100714,2025-04-24,F3,P14,K0098,2,0.0
B100715,2025-04-24,F4,P11,K0148,1,0.0
B100716,2025-04-25,F1,P06,K0003,1,0.0
B100717,2025-04-25,F1,P10,K0026,1,0.1
B100718,2025-04-25,F2,P02,K0069,1,0.05
B100719,2025-04-25,F3,P18,K0112,1,0.08
B100720,2025-04-25,F3,P07,K0097,1,0.1
B100721,2025-04-25,F3,P16,K0126,1,0.1
B100722,2025-04-25,F4,P13,K0050,1,0.0
B100723,2025-04-25,F4,P13,K0137,1,0.05
B100724,2025-04-26,F1,P17,K0027,1,0.05
B100725,2025-04-26,F1,P18,K0001,1,0.05
B100726,2025-04-26,F1,P11,K0004,2,0.1
B100727,2025-04-26,F1,P10,K0002,1,0.0
B100728,2025-04-26,F1,P15,K0045,2,0.05
B100729,2025-04-26,F1,P11,K0026,3,0.08
B100730,2025-04-26,F1,P08,K0003,3,0.03
B100731,2025-04-26,F2,P02,K0066,1,0.0
B100732,2025-04-26,F2,P12,K0067,1,0.0
B100733,2025-04-26,F2,P14,K0076,1,0.1
B100734,2025-04-26,F2,P16,K0082,1,0.0
B100735,2025-04-26,F3,P14,K0101,2,0.0
B100736,2025-04-26,F3,P16,K0106,1,0.05
B100737,2025-04-26,F3,P18,K0119,1,0.05
B100738,2025-04-26,F3,P08,K0089,3,0.05
B100739,2025-04-26,F3,P13,K0118,2,0.03
B100740,2025-04-26,F3,P13,K0110,2,0.0
B100741,2025-04-26,F3,P18,K0108,1,0.0
B100742,2025-04-26,F3,P18,K0118,1,0.03
B100743,2025-04-26,F3,P12,K0137,2,0.03
B100744,2025-04-26,F4,P09,K0141,1,0.03
B100745,2025-04-26,F4,P12,K0151,1,0.08
B100746,2025-04-26,F4,P11,K0159,2,0.1
B100747,2025-04-26,F4,P07,K0157,1,0.1
B100748,2025-04-26,F4,P10,K0152,3,0.0
B100749,2025-04-26,F4,P05,K0137,1,0.03
B100750,2025-04-26,F4,P11,K0063,1,0.1
B100751,2025-04-28,F1,P14,K0007,1,0.1
B100752,2025-04-28,F1,P11,K0018,2,0.03
B100753,2025-04-28,F2,P16,K0059,1,0.1
B100754,2025-04-28,F2,P14,K0071,1,0.1
B100755,2025-04-28,F3,P11,K0108,1,0.0
B100756,2025-04-28,F3,P09,K0086,2,0.03
B100757,2025-04-28,F3,P01,K0107,1,0.05
B100758,2025-04-28,F3,P02,K0114,1,0.05
B100759,2025-04-29,F1,P05,K0010,1,0.05
B100760,2025-04-29,F1,P14,K0024,2,0.0
B100761,2025-04-29,F2,P12,K0083,1,0.05
B100762,2025-04-29,F2,P05,K0046,1,0.08
B100763,2025-04-29,F2,P06,K0055,1,0.0
B100764,2025-04-29,F3,P08,K0119,3,0.1
B100765,2025-04-29,F3,P05,K0117,1,0.05
B100766,2025-04-29,F3,P09,K0091,3,0.0
B100767,2025-04-29,F3,P11,K0111,3,0.0
B100768,2025-04-29,F3,P11,K0095,1,0.1
B100769,2025-04-30,F1,P08,K0045,1,0.0
B100770,2025-04-30,F1,P18,K0036,1,0.05
B100771,2025-04-30,F1,P11,K0002,3,0.05
B100772,2025-04-30,F1,P05,K0026,1,0.05
B100773,2025-04-30,F2,P10,K0053,2,0.03
B100774,2025-04-30,F2,P18,K0055,1,0.0
B100775,2025-04-30,F3,P16,K0101,1,0.05
B100776,2025-04-30,F3,P10,K0124,2,0.0
B100777,2025-04-30,F3,P02,K0089,1,0.05
B100778,2025-04-30,F3,P09,K0094,2,0.0
B100779,2025-04-30,F3,P09,K0092,2,0.03
B100780,2025-04-30,F3,P11,K0130,1,0.0
B100781,2025-04-30,F4,P11,K0156,2,0.0
B100782,2025-04-30,F4,P08,K0133,3,0.0
B100783,2025-05-01,F1,P01,K0028,1,0.0
B100784,2025-05-01,F1,P08,K0026,2,0.1
B100785,2025-05-01,F1,P01,K0013,1,0.0
B100786,2025-05-01,F2,P05,K0063,1,0.0
B100787,2025-05-01,F2,P17,K0057,1,0.05
B100788,2025-05-01,F2,P11,K0049,2,0.05
B100789,2025-05-01,F2,P01,K0065,1,0.03
B100790,2025-05-01,F2,P18,K0081,1,0.05
B100791,2025-05-01,F3,P11,K0096,2,0.0
B100792,2025-05-01,F3,P11,K0124,2,0.05
B100793,2025-05-01,F3,P16,K0126,1,0.0
B100794,2025-05-01,F3,P09,K0088,1,0.0
B100795,2025-05-01,F3,P02,K0086,1,0.0
B100796,2025-05-01,F3,P04,K0119,1,0.03
B100797,2025-05-02,F1,P17,K0019,1,0.0
B100798,2025-05-02,F1,P12,K0039,3,0.1
B100799,2025-05-02,F1,P08,K0021,3,0.05
B100800,2025-05-02,F1,P11,K0017,3,0.1
B100801,2025-05-02,F1,P18,K0019,1,0.05
B100802,2025-05-02,F2,P18,K0058,1,0.0
B100803,2025-05-02,F2,P07,K0069,1,0.0
B100804,2025-05-02,F2,P09,K0067,2,0.05
B100805,2025-05-02,F3,P17,K0028,1,0.1
B100806,2025-05-02,F3,P08,K0091,2,0.0
B100807,2025-05-02,F3,P12,K0130,1,0.0
B100808,2025-05-02,F3,P09,K0109,1,0.03
B100809,2025-05-02,F4,P09,K0143,1,0.03
B100810,2025-05-02,F4,P08,K0154,3,0.1
B100811,2025-05-02,F4,P02,K0148,1,0.1
B100812,2025-05-03,F1,P15,K0041,2,0.05
B100813,2025-05-03,F1,P08,K0022,3,0.05
B100814,2025-05-03,F1,P13,K0002,2,0.03
B100815,2025-05-03,F1,P16,K0024,1,0.0
B100816,2025-05-03,F1,P11,K0018,1,0.05
B100817,2025-05-03,F2,P02,K0079,1,0.0
B100818,2025-05-03,F2,P18,K0069,1,0.0
B100819,2025-05-03,F2,P16,K0001,1,0.1
B100820,2025-05-03,F3,P04,K0101,1,0.0
B100821,2025-05-03,F3,P03,K0119,1,0.0
B100822,2025-05-03,F3,P10,K0113,2,0.03
B100823,2025-05-03,F3,P11,K0093,1,0.05
B100824,2025-05-03,F3,P08,K0123,3,0.03
B100825,2025-05-03,F3,P09,K0119,2,0.1
B100826,2025-05-03,F4,P08,K0147,3,0.03
B100827,2025-05-03,F4,P08,K0140,2,0.0
B100828,2025-05-03,F4,P17,K0152,1,0.05
B100829,2025-05-05,F1,P15,K0027,2,0.03
B100830,2025-05-05,F2,P02,K0075,1,0.08
B100831,2025-05-05,F2,P16,K0054,1,0.1
B100832,2025-05-05,F2,P18,K0058,1,0.1
B100833,2025-05-05,F2,P18,K0052,1,0.0
B100834,2025-05-05,F3,P18,K0093,1,0.0
B100835,2025-05-05,F3,P17,K0143,1,0.0
B100836,2025-05-05,F4,P16,K0152,1,0.0
B100837,2025-05-05,F4,P13,K0152,2,0.05
B100838,2025-05-06,F1,P14,K0006,2,0.0
B100839,2025-05-06,F1,P16,K0040,1,0.1
B100840,2025-05-06,F1,P10,K0002,2,0.05
B100841,2025-05-06,F2,P14,K0051,1,0.03
B100842,2025-05-06,F2,P08,K0076,3,0.0
B100843,2025-05-06,F2,P01,K0075,1,0.1
B100844,2025-05-06,F3,P05,K0133,1,0.0
B100845,2025-05-06,F3,P16,K0108,1,0.03
B100846,2025-05-06,F3,P05,K0097,1,0.05
B100847,2025-05-06,F3,P09,K0119,3,0.05
B100848,2025-05-06,F4,P14,K0120,1,0.03
B100849,2025-05-06,F4,P02,K0153,1,0.08
B100850,2025-05-07,F1,P04,K0023,1,0.0
B100851,2025-05-07,F1,P02,K0017,1,0.0
B100852,2025-05-07,F1,P16,K0028,1,0.05
B100853,2025-05-07,F1,P16,K0024,1,0.05
B100854,2025-05-07,F2,P12,K0052,3,0.05
B100855,2025-05-07,F2,P10,K0049,3,0.05
B100856,2025-05-07,F2,P11,K0067,2,0.0
B100857,2025-05-07,F2,P11,K0072,1,0.03
B100858,2025-05-07,F3,P04,K0093,1,0.05
B100859,2025-05-07,F3,P11,K0119,3,0.1
B100860,2025-05-07,F3,P09,K0134,3,0.05
B100861,2025-05-07,F3,P08,K0090,1,0.1
B100862,2025-05-07,F4,P18,K0154,1,0.05
B100863,2025-05-07,F4,P08,K0156,2,0.0
B100864,2025-05-07,F4,P15,K0085,2,0.05
B100865,2025-05-08,F1,P01,K0038,1,0.0
B100866,2025-05-08,F1,P16,K0019,1,0.0
B100867,2025-05-08,F1,P10,K0019,3,0.05
B100868,2025-05-08,F2,P18,K0080,1,0.0
B100869,2025-05-08,F2,P09,K0076,2,0.0
B100870,2025-05-08,F3,P17,K0099,1,0.05
B100871,2025-05-08,F3,P13,K0131,2,0.1
B100872,2025-05-08,F4,P02,K0141,1,0.1
B100873,2025-05-09,F1,P11,K0034,2,0.05
B100874,2025-05-09,F1,P11,K0019,2,0.05
B100875,2025-05-09,F2,P18,K0060,1,0.1
B100876,2025-05-09,F3,P18,K0107,1,0.03
B100877,2025-05-09,F3,P15,K0054,2,0.08
B100878,2025-05-09,F3,P10,K0092,2,0.0
B100879,2025-05-09,F3,P14,K0122,2,0.05
B100880,2025-05-09,F3,P06,K0094,1,0.03
B100881,2025-05-09,F4,P12,K0137,1,0.1
B100882,2025-05-10,F1,P18,K0019,1,0.1
B100883,2025-05-10,F1,P13,K0017,1,0.03
B100884,2025-05-10,F1,P02,K0009,1,0.1
B100885,2025-05-10,F1,P02,K0055,1,0.05
B100886,2025-05-10,F1,P17,K0015,1,0.0
B100887,2025-05-10,F2,P03,K0081,1,0.1
B100888,2025-05-10,F2,P11,K0063,2,0.1
B100889,2025-05-10,F2,P08,K0064,1,0.0
B100890,2025-05-10,F2,P05,K0049,1,0.0
B100891,2025-05-10,F2,P17,K0062,1,0.05
B100892,2025-05-10,F3,P06,K0133,1,0.0
B100893,2025-05-10,F3,P11,K0108,1,0.05
B100894,2025-05-10,F3,P09,K0104,3,0.1
B100895,2025-05-10,F3,P10,K0085,2,0.1
B100896,2025-05-10,F3,P18,K0115,1,0.1
B100897,2025-05-10,F4,P11,K0137,1,0.0
B100898,2025-05-10,F4,P09,K0138,2,0.05
B100899,2025-05-12,F1,P05,K0095,1,0.05
B100900,2025-05-12,F1,P16,K0024,1,0.05
B100901,2025-05-12,F1,P06,K0044,1,0.05
B100902,2025-05-12,F1,P18,K0040,1,0.05
B100903,2025-05-12,F2,P11,K0051,1,0.0
B100904,2025-05-12,F2,P09,K0065,2,0.1
B100905,2025-05-12,F2,P18,K0130,1,0.05
B100906,2025-05-12,F3,P16,K0115,1,0.0
B100907,2025-05-12,F3,P11,K0123,1,0.05
B100908,2025-05-12,F3,P10,K0097,3,0.08
B100909,2025-05-12,F3,P05,K0115,1,0.05
B100910,2025-05-12,F4,P08,K0153,1,0.1
B100911,2025-05-12,F4,P08,K0126,3,0.0
B100912,2025-05-13,F1,P08,K0146,2,0.03
B100913,2025-05-13,F1,P08,K0028,3,0.0
B100914,2025-05-13,F2,P10,K0061,1,0.0
B100915,2025-05-13,F2,P18,K0074,1,0.05
B100916,2025-05-13,F2,P02,K0049,1,0.1
B100917,2025-05-13,F2,P17,K0049,1,0.1
B100918,2025-05-13,F3,P15,K0128,2,0.03
B100919,2025-05-13,F3,P10,K0092,2,0.0
B100920,2025-05-13,F3,P10,K0095,1,0.0
B100921,2025-05-13,F3,P08,K0088,2,0.0
B100922,2025-05-13,F3,P11,K0123,3,0.0
B100923,2025-05-13,F4,P11,K0148,2,0.03
B100924,2025-05-13,F4,P15,K0142,1,0.1
B100925,2025-05-13,F4,P05,K0144,1,0.05
B100926,2025-05-14,F1,P17,K0022,1,0.1
B100927,2025-05-14,F1,P08,K0006,1,0.05
B100928,2025-05-14,F2,P18,K0014,1,0.05
B100929,2025-05-14,F2,P16,K0075,1,0.05
B100930,2025-05-14,F2,P11,K0077,2,0.03
B100931,2025-05-14,F3,P06,K0091,1,0.05
B100932,2025-05-14,F3,P16,K0134,1,0.1
B100933,2025-05-14,F3,P15,K0093,1,0.05
B100934,2025-05-14,F4,P18,K0150,1,0.03
B100935,2025-05-14,F4,P17,K0135,1,0.1
B100936,2025-05-14,F4,P03,K0151,1,0.1
B100937,2025-05-14,F4,P11,K0151,2,0.05
B100938,2025-05-15,F1,P16,K0044,1,0.0
B100939,2025-05-15,F1,P16,K0030,1,0.0
B100940,2025-05-15,F1,P14,K0028,2,0.0
B100941,2025-05-15,F1,P04,K0035,1,0.0
B100942,2025-05-15,F2,P06,K0066,1,0.05
B100943,2025-05-15,F3,P01,K0119,1,0.05
B100944,2025-05-15,F3,P18,K0102,1,0.03
B100945,2025-05-15,F3,P08,K0084,3,0.05
B100946,2025-05-15,F3,P11,K0149,3,0.1
B100947,2025-05-15,F3,P12,K0116,2,0.08
B100948,2025-05-15,F4,P15,K0056,2,0.05
B100949,2025-05-16,F1,P08,K0041,1,0.05
B100950,2025-05-16,F1,P05,K0001,1,0.05
B100951,2025-05-16,F1,P11,K0029,2,0.03
B100952,2025-05-16,F1,P05,K0029,1,0.0
B100953,2025-05-16,F2,P04,K0078,1,0.0
B100954,2025-05-16,F3,P10,K0091,3,0.05
B100955,2025-05-16,F3,P17,K0116,1,0.05
B100956,2025-05-16,F3,P02,K0117,1,0.0
B100957,2025-05-16,F4,P18,K0159,1,0.1
B100958,2025-05-17,F1,P04,K0117,1,0.03
B100959,2025-05-17,F1,P11,K0004,1,0.0
B100960,2025-05-17,F1,P12,K0053,3,0.05
B100961,2025-05-17,F1,P03,K0036,1,0.1
B100962,2025-05-17,F2,P12,K0061,3,0.0
B100963,2025-05-17,F2,P11,K0067,3,0.0
B100964,2025-05-17,F2,P11,K0027,1,0.0
B100965,2025-05-17,F2,P11,K0081,1,0.05
B100966,2025-05-17,F2,P12,K0079,2,0.0
B100967,2025-05-17,F3,P10,K0113,3,0.0
B100968,2025-05-17,F3,P18,K0115,1,0.03
B100969,2025-05-17,F3,P13,K0110,2,0.0
B100970,2025-05-17,F3,P14,K0092,2,0.05
B100971,2025-05-17,F4,P09,K0135,1,0.0
B100972,2025-05-17,F4,P11,K0149,2,0.1
B100973,2025-05-17,F4,P08,K0152,1,0.0
B100974,2025-05-17,F4,P02,K0159,1,0.1
B100975,2025-05-19,F1,P12,K0111,3,0.0
B100976,2025-05-19,F2,P01,K0075,1,0.1
B100977,2025-05-19,F3,P12,K0108,1,0.05
B100978,2025-05-19,F3,P06,K0089,1,0.1
B100979,2025-05-19,F3,P18,K0106,1,0.0
B100980,2025-05-19,F3,P06,K0018,1,0.0
B100981,2025-05-19,F3,P09,K0127,3,0.05
B100982,2025-05-19,F3,P11,K0039,2,0.1
B100983,2025-05-19,F4,P16,K0158,1,0.03
B100984,2025-05-19,F4,P05,K0145,1,0.1
B100985,2025-05-19,F4,P11,K0160,3,0.05
B100986,2025-05-20,F1,P06,K0039,1,0.1
B100987,2025-05-20,F1,P01,K0019,1,0.1
B100988,2025-05-20,F1,P16,K0126,1,0.03
B100989,2025-05-20,F1,P04,K0020,1,0.03
B100990,2025-05-20,F3,P11,K0098,2,0.03
B100991,2025-05-20,F3,P16,K0101,1,0.0
B100992,2025-05-20,F4,P12,K0145,2,0.0
B100993,2025-05-20,F4,P13,K0142,1,0.1
B100994,2025-05-20,F4,P18,K0156,1,0.05
B100995,2025-05-20,F4,P08,K0161,1,0.1
B100996,2025-05-20,F4,P07,K0155,1,0.05
B100997,2025-05-21,F1,P11,K0016,1,0.05
B100998,2025-05-21,F1,P13,K0024,2,0.03
B100999,2025-05-21,F1,P01,K0032,1,0.1
B101000,2025-05-21,F2,P03,K0046,1,0.1
B101001,2025-05-21,F2,P15,K0049,1,0.0
B101002,2025-05-21,F2,P17,K0049,1,0.0
B101003,2025-05-21,F2,P11,K0047,2,0.0
B101004,2025-05-21,F2,P10,K0083,3,0.05
B101005,2025-05-21,F3,P13,K0133,1,0.05
B101006,2025-05-21,F3,P11,K0114,1,0.05
B101007,2025-05-21,F3,P11,K0128,1,0.0
B101008,2025-05-21,F3,P09,K0084,1,0.05
B101009,2025-05-21,F3,P10,K0105,2,0.0
B101010,2025-05-21,F4,P18,K0155,1,0.05
B101011,2025-05-22,F1,P09,K0032,2,0.05
B101012,2025-05-22,F2,P09,K0063,3,0.03
B101013,2025-05-22,F2,P01,K0070,1,0.05
B101014,2025-05-22,F2,P14,K0046,1,0.05
B101015,2025-05-22,F2,P08,K0068,1,0.1
B101016,2025-05-22,F2,P01,K0057,1,0.05
B101017,2025-05-22,F3,P05,K0150,1,0.0
B101018,2025-05-22,F3,P16,K0113,1,0.0
B101019,2025-05-22,F3,P06,K0124,1,0.0
B101020,2025-05-22,F3,P17,K0108,1,0.0
B101021,2025-05-22,F3,P06,K0091,1,0.1
B101022,2025-05-22,F4,P08,K0146,1,0.1
B101023,2025-05-22,F4,P09,K0151,2,0.05
B101024,2025-05-22,F4,P08,K0150,2,0.0
B101025,2025-05-23,F1,P16,K0044,1,0.03
B101026,2025-05-23,F1,P08,K0022,1,0.08
B101027,2025-05-23,F1,P08,K0016,2,0.0
B101028,2025-05-23,F1,P02,K0028,1,0.1
B101029,2025-05-23,F1,P16,K0037,1,0.0
B101030,2025-05-23,F2,P13,K0073,2,0.0
B101031,2025-05-23,F2,P13,K0059,1,0.03
B101032,2025-05-23,F3,P08,K0126,1,0.05
