Personalnr,BereichID,Standort,Rolle,Beschaeftigung,FTE,Altersgruppe,Eintritt
00309,B04,Werk Ulm,Mitarbeitende,Teilzeit,0.50,45–54,2019-12-01
00310,B04,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,1992-01-01
00311,B05,Zentrale Hannover,Führungskraft,Vollzeit,1.00,unter 30,2021-12-01
00312,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2018-11-01
00313,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2006-02-01
00314,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2003-05-01
00315,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.80,30–44,2024-02-01
00316,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.75,45–54,2023-08-01
00317,B05,Werk Ulm,Mitarbeitende,Teilzeit,0.80,45–54,1997-05-01
00318,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2024-05-01
00319,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.75,30–44,2011-05-01
00320,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.75,55+,2021-09-01
00321,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2014-02-01
00322,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2005-09-01
00323,B05,Zentrale Hannover,Führungskraft,Vollzeit,1.00,45–54,2000-10-01
00324,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2023-07-01
00325,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,unter 30,2024-08-01
00326,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.80,55+,2021-10-01
00327,B05,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2019-06-01
00328,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,1992-02-01
00329,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2004-04-01
00330,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2018-02-01
00331,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.60,30–44,2016-09-01
00332,B05,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2019-08-01
00333,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.80,unter 30,2024-01-01
00334,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2013-04-01
00335,B05,Werk Kassel,Führungskraft,Vollzeit,1.00,45–54,2000-02-01
00336,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2006-04-01
00337,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2017-10-01
00338,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2015-05-01
00339,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2021-10-01
00340,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2011-08-01
00341,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2021-07-01
00342,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2008-02-01
00343,B05,Werk Kassel,Mitarbeitende,Vollzeit,1.00,55+,1990-04-01
00344,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,55+,1997-07-01
00345,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2001-10-01
00346,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.60,unter 30,2018-04-01
00347,B05,Zentrale Hannover,Führungskraft,Teilzeit,0.80,45–54,2016-11-01
00348,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,30–44,2011-02-01
00349,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2005-11-01
00350,B05,Zentrale Hannover,Mitarbeitende,Teilzeit,0.60,30–44,2024-04-01
00351,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2009-12-01
00352,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2009-08-01
00353,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2024-12-01
00354,B05,Werk Ulm,Mitarbeitende,Vollzeit,1.00,30–44,2023-06-01
00355,B05,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2019-10-01
00356,B06,Zentrale Hannover,Führungskraft,Vollzeit,1.00,30–44,2004-09-01
00357,B06,Zentrale Hannover,Mitarbeitende,Teilzeit,0.80,55+,2018-10-01
00358,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2018-02-01
00359,B06,Zentrale Hannover,Mitarbeitende,Teilzeit,0.80,30–44,2004-08-01
00360,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2018-02-01
00361,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2001-05-01
00362,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2020-05-01
00363,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2020-01-01
00364,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2006-05-01
00365,B06,Zentrale Hannover,Mitarbeitende,Teilzeit,0.60,30–44,2022-12-01
00366,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2021-01-01
00367,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2006-11-01
00368,B06,Zentrale Hannover,Führungskraft,Vollzeit,1.00,unter 30,2016-08-01
00369,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2006-12-01
00370,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2005-12-01
00371,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2020-12-01
00372,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2005-10-01
00373,B06,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,30–44,2004-08-01
00374,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2000-11-01
00375,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2015-10-01
00376,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2022-06-01
00377,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2022-09-01
00378,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2005-10-01
00379,B06,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,1997-11-01
00380,B06,Zentrale Hannover,Führungskraft,Vollzeit,1.00,30–44,2008-01-01
00381,B07,Zentrale Hannover,Führungskraft,Teilzeit,0.50,55+,2003-01-01
00382,B07,Werk Kassel,Mitarbeitende,Vollzeit,1.00,30–44,2013-12-01
00383,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2018-02-01
00384,B07,Zentrale Hannover,Auszubildende,Vollzeit,1.00,unter 30,2023-09-01
00385,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2014-06-01
00386,B07,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2012-05-01
00387,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2022-04-01
00388,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2016-01-01
00389,B07,Zentrale Hannover,Mitarbeitende,Teilzeit,0.75,30–44,2007-03-01
00390,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2019-04-01
00391,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2004-10-01
00392,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2010-05-01
00393,B07,Zentrale Hannover,Führungskraft,Vollzeit,1.00,30–44,2005-10-01
00394,B07,Zentrale Hannover,Auszubildende,Vollzeit,1.00,unter 30,2024-09-01
00395,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2006-02-01
00396,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2008-06-01
00397,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2017-05-01
00398,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2024-02-01
00399,B07,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,unter 30,2024-05-01
00400,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2024-06-01
00401,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2021-01-01
00402,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2024-01-01
00403,B07,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,55+,2002-11-01
00404,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2014-05-01
00405,B07,Zentrale Hannover,Führungskraft,Vollzeit,1.00,55+,2022-03-01
00406,B07,Werk Ulm,Mitarbeitende,Vollzeit,1.00,45–54,2018-02-01
00407,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2001-03-01
00408,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2018-08-01
00409,B07,Werk Ulm,Mitarbeitende,Vollzeit,1.00,unter 30,2022-03-01
00410,B07,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,30–44,2024-08-01
00411,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,unter 30,2019-06-01
00412,B07,Zentrale Hannover,Auszubildende,Vollzeit,1.00,unter 30,2023-09-01
00413,B07,Zentrale Hannover,Mitarbeitende,Teilzeit,0.50,30–44,2015-03-01
00414,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,55+,2009-08-01
00415,B07,Zentrale Hannover,Mitarbeitende,Teilzeit,0.80,55+,2017-09-01
00416,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,2014-04-01
00417,B07,Werk Ulm,Führungskraft,Vollzeit,1.00,30–44,2005-05-01
00418,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,45–54,1998-08-01
00419,B07,Zentrale Hannover,Mitarbeitende,Vollzeit,1.00,30–44,2018-11-01
00420,B07,Zentrale Hannover,Mitarbeitende,Teilzeit,0.60,45–54,1998-12-01
