Export RT-Kasse v4.2 | Rad & Tat GmbH | erstellt 2026-01-02 06:00 | alle Filialen
Belegnummer,Belegdatum,Filiale,Kategorie,Produkt,Menge,Umsatz,Kosten
B100687,2025-04-22,Köln,Zubehör,Fahrradtasche,3,253.65,132.00
B100688,2025-04-22,München,Zubehör,Helm Urban,1,75.91,38.00
B100689,2025-04-22,München,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100690,2025-04-22,München ,Zubehör,Helm Urban,2,155.01,76.00
B100691,2025-04-22,Leipzig,Bekleidung,Regenjacke,2,232.20,122.00
B100692,2025-04-22,Leipzig,Fahrräder,Trekkingrad Tour,1,809.10,560.00
B100693,2025-04-22,Leipzig,Werkstatt,Schlauchwechsel,1,18.31,9.00
B100694,2025-04-23,Hamburg,Zubehör,Fahrradtasche,1,84.55,44.00
B100695,2025-04-23,Hamburg,Fahrräder,Stadtrad Classic,1,616.55,410.00
B100696,2025-04-23,Hamburg,Zubehör,Fahrradtasche,1,86.33,44.00
B100697,2025-04-23,Köln,Zubehör,Lichtset LED,2,79.80,33.60
B100698,2025-04-23,München,Bekleidung,Radhose,1,65.55,29.00
B100699,2025-04-23,München,Zubehör,Luftpumpe,3,68.72,29.70
B100700,2025-04-23,München,Bekleidung,Regenjacke,2,258.00,122.00
B100701,2025-04-23,München,Zubehör,Luftpumpe,1,22.41,9.90
B100702,2025-04-23,Leipzig,Fahrräder,Stadtrad Classic,1,649.00,410.00
B100703,2025-04-24,Hamburg,Zubehör,Faltschloss,3,179.70,82.50
B100704,2025-04-24,Hamburg,Zubehör,Lichtset LED,2,75.81,33.60
B100705,2025-04-24,Hamburg,Zubehör,Fahrradtasche,2,160.20,88.00
B100706,2025-04-24,Hamburg,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100707,2025-04-24,Hamburg,Bekleidung,Handschuhe,1,29.00,11.50
B100708,2025-04-24,Köln ,Zubehör,Faltschloss,2,119.80,55.00
B100709,2025-04-24,Köln,Bekleidung,Regenjacke,2,250.26,122.00
B100710,2025-04-24,Köln,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B100711,2025-04-24,München  ,Bekleidung,Regenjacke,1,129.00,61.00
B100712,2025-04-24,München,zubehör,Luftpumpe,1,24.15,9.90
B100713,2025-04-24,München,Bekleidung,Handschuhe,2,53.82,23.00
B100714,2025-04-24,München,Bekleidung,Radhose,2,138.00,58.00
B100715,2025-04-24,Leipzig,Zubehör,Lichtset LED,1,39.90,16.80
B100716,2025-04-25,Hamburg,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B100717,2025-04-25,Hamburg,Zubehör,Fahrradtasche,1,80.10,44.00
B100718,2025-04-25,Köln,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B100719,2025-04-25,München,Werkstatt,Schlauchwechsel,1,18.31,9.00
B100720,2025-04-25,München,E-Bikes,E-Lastenrad,1,4491.00,3490.00
B100721,2025-04-25,München,Werkstatt,Inspektion Standard,1,80.10,52.00
B100722,2025-04-25,Leipzig,Bekleidung,Regenjacke,1,129.00,61.00
B100723,2025-04-25,Leipzig,Bekleidung,Regenjacke,1,122.55,61.00
B100724,2025-04-26,Hamburg,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100725,2025-04-26,Hamburg,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100726,2025-04-26,Hamburg,Zubehör,Lichtset LED,2,71.82,33.60
B100727,2025-04-26,Hamburg,zubehör,Fahrradtasche,1,89.00,44.00
B100728,2025-04-26,Hamburg,Bekleidung,Handschuhe,2,56.81,23.00
B100729,2025-04-26,Hamburg,Zubehör,Lichtset LED,3,110.12,50.40
B100730,2025-04-26,Hamburg,Zubehör,Helm Urban,3,232.51,114.00
B100731,2025-04-26,Köln,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100732,2025-04-26,Köln,Zubehör,Luftpumpe,1,24.90,9.90
B100733,2025-04-26,Köln,Bekleidung,Radhose,1,62.10,29.00
B100734,2025-04-26,Köln,Werkstatt,Inspektion Standard,1,89.00,52.00
B100735,2025-04-26,München,Bekleidung,Radhose,2,138.00,58.00
B100736,2025-04-26,München,Werkstatt,Inspektion Standard,1,84.55,52.00
B100737,2025-04-26,München,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100738,2025-04-26,München,Zubehör,Helm Urban,3,227.72,114.00
B100739,2025-04-26,München,bekleidung,Regenjacke,2,250.26,122.00
B100740,2025-04-26,München,Bekleidung,Regenjacke,2,258.00,122.00
B100741,2025-04-26,München,werkstatt,Schlauchwechsel,1,19.90,9.00
B100742,2025-04-26,München,werkstatt,Schlauchwechsel,1,19.30,9.00
B100743,2025-04-26,München,Zubehör,Luftpumpe,2,48.31,19.80
B100744,2025-04-26,Leipzig,Zubehör,Faltschloss,1,58.10,27.50
B100745,2025-04-26,Leipzig,Zubehör,Luftpumpe,1,22.91,9.90
B100746,2025-04-26,Leipzig,Zubehör,Lichtset LED,2,71.82,33.60
B100747,2025-04-26,Leipzig,E-Bikes,E-Lastenrad,1,4491.00,3490.00
B100748,2025-04-26,Leipzig,Zubehör,Fahrradtasche,3,267.00,132.00
B100749,2025-04-26,Leipzig,E-Bikes,E-Bike City,1,2424.03,1690.00
B100750,2025-04-26,Leipzig,Zubehör,Lichtset LED,1,35.91,16.80
B100751,2025-04-28,Hamburg,Bekleidung,Radhose,1,62.10,29.00
B100752,2025-04-28,Hamburg,Zubehör,Lichtset LED,2,77.41,33.60
B100753,2025-04-28,Köln,Werkstatt,Inspektion Standard,1,80.10,52.00
B100754,2025-04-28,Köln,Bekleidung,Radhose,1,62.10,29.00
B100755,2025-04-28,München,Zubehör,Lichtset LED,1,39.90,16.80
B100756,2025-04-28,München,Zubehör,Faltschloss,2,116.21,55.00
B100757,2025-04-28,München  ,fahrräder,Stadtrad Classic,1,616.55,410.00
B100758,2025-04-28,München,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B100759,2025-04-29,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B100760,2025-04-29,Hamburg,Bekleidung,Radhose,2,138.00,58.00
B100761,2025-04-29,Köln,Zubehör,Luftpumpe,1,23.65,9.90
B100762,2025-04-29,Köln,E-Bikes,E-Bike City,1,2299.08,1690.00
B100763,2025-04-29,Köln,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B100764,2025-04-29,München,Zubehör,Helm Urban,3,215.73,114.00
B100765,2025-04-29,München,E-Bikes,E-Bike City,1,2374.05,1690.00
B100766,2025-04-29,München,Zubehör,Faltschloss,3,179.70,82.50
B100767,2025-04-29,München,Zubehör,Lichtset LED,3,119.70,50.40
B100768,2025-04-29,München,Zubehör,Lichtset LED,1,35.91,16.80
B100769,2025-04-30,Hamburg  ,Zubehör,Helm Urban,1,79.90,38.00
B100770,2025-04-30,Hamburg,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100771,2025-04-30,Hamburg,Zubehör,Lichtset LED,3,113.71,50.40
B100772,2025-04-30,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B100773,2025-04-30,Köln,Zubehör,Fahrradtasche,2,172.66,88.00
B100774,2025-04-30,Köln,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100775,2025-04-30,München,Werkstatt,Inspektion Standard,1,84.55,52.00
B100776,2025-04-30,München,Zubehör,Fahrradtasche,2,178.00,88.00
B100777,2025-04-30,München,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B100778,2025-04-30,München,Zubehör,Faltschloss,2,119.80,55.00
B100779,2025-04-30,München,Zubehör,Faltschloss,2,116.21,55.00
B100780,2025-04-30,München,Zubehör,Lichtset LED,1,39.90,16.80
B100781,2025-04-30,Leipzig,Zubehör,Lichtset LED,2,79.80,33.60
B100782,2025-04-30,Leipzig,Zubehör,Helm Urban,3,239.70,114.00
B100783,2025-05-01,Hamburg,Fahrräder,Stadtrad Classic,1,649.00,410.00
B100784,2025-05-01,Hamburg,Zubehör,Helm Urban,2,143.82,76.00
B100785,2025-05-01,Hamburg ,Fahrräder,Stadtrad Classic,1,649.00,410.00
B100786,2025-05-01,Köln,E-Bikes,E-Bike City,1,2499.00,1690.00
B100787,2025-05-01,Köln,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100788,2025-05-01,Köln,Zubehör,Lichtset LED,2,75.81,33.60
B100789,2025-05-01,Köln,Fahrräder,Stadtrad Classic,1,629.53,410.00
B100790,2025-05-01,Köln,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100791,2025-05-01,München,Zubehör,Lichtset LED,2,79.80,33.60
B100792,2025-05-01,München,Zubehör,Lichtset LED,2,75.81,33.60
B100793,2025-05-01,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B100794,2025-05-01,München,Zubehör,Faltschloss,1,59.90,27.50
B100795,2025-05-01,München,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100796,2025-05-01,München,Fahrräder,Kinderrad 20 Zoll,1,319.13,205.00
B100797,2025-05-02,Hamburg,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100798,2025-05-02,Hamburg,Zubehör,Luftpumpe,3,67.23,29.70
B100799,2025-05-02,Hamburg,Zubehör,Helm Urban,3,227.72,114.00
B100800,2025-05-02,Hamburg,Zubehör,Lichtset LED,3,107.73,50.40
B100801,2025-05-02,Hamburg,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100802,2025-05-02,Köln,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100803,2025-05-02,Köln ,E-Bikes,E-Lastenrad,1,4990.00,3490.00
B100804,2025-05-02,Köln,Zubehör,Faltschloss,2,113.81,55.00
B100805,2025-05-02,München,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B100806,2025-05-02,München,zubehör,Helm Urban,2,159.80,76.00
B100807,2025-05-02,München,Zubehör,Luftpumpe,1,24.90,9.90
B100808,2025-05-02,München,Zubehör,Faltschloss,1,58.10,27.50
B100809,2025-05-02,Leipzig,zubehör,Faltschloss,1,58.10,27.50
B100810,2025-05-02,Leipzig,Zubehör,Helm Urban,3,215.73,114.00
B100811,2025-05-02,Leipzig,Fahrräder,Trekkingrad Tour,1,809.10,560.00
B100812,2025-05-03,Hamburg,Bekleidung,Handschuhe,2,56.81,23.00
B100813,2025-05-03,Hamburg,Zubehör,Helm Urban,3,227.72,114.00
B100814,2025-05-03,Hamburg,Bekleidung,Regenjacke,2,250.26,122.00
B100815,2025-05-03,Hamburg,Werkstatt,Inspektion Standard,1,89.00,52.00
B100816,2025-05-03,Hamburg,Zubehör,Lichtset LED,1,37.90,16.80
B100817,2025-05-03,Köln,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100818,2025-05-03,Köln,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100819,2025-05-03,Köln,Werkstatt,Inspektion Standard,1,80.10,52.00
B100820,2025-05-03,München,Fahrräder,Kinderrad 20 Zoll,1,329.00,205.00
B100821,2025-05-03,München,Fahrräder,Gravelbike Kies,1,1299.00,830.00
B100822,2025-05-03,München,zubehör,Fahrradtasche,2,172.66,88.00
B100823,2025-05-03,München,Zubehör,Lichtset LED,1,37.90,16.80
B100824,2025-05-03,München,Zubehör,Helm Urban,3,232.51,114.00
B100825,2025-05-03,München,Zubehör,Faltschloss,2,107.82,55.00
B100826,2025-05-03,Leipzig,Zubehör,Helm Urban,3,232.51,114.00
B100827,2025-05-03,Leipzig,Zubehör,Helm Urban,2,159.80,76.00
B100828,2025-05-03,Leipzig,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100829,2025-05-05,Hamburg,bekleidung,Handschuhe,2,58.01,23.00
B100830,2025-05-05,Köln,Fahrräder,Trekkingrad Tour,1,827.08,560.00
B100831,2025-05-05,Köln,Werkstatt,Inspektion Standard,1,80.10,52.00
B100832,2025-05-05,Köln,Werkstatt,Schlauchwechsel,1,17.91,9.00
B100833,2025-05-05,Köln,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100834,2025-05-05,München,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100835,2025-05-05,München  ,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100836,2025-05-05,Leipzig,Werkstatt,Inspektion Standard,1,89.00,52.00
B100837,2025-05-05,Leipzig,Bekleidung,Regenjacke,2,245.10,122.00
B100838,2025-05-06,Hamburg,Bekleidung,Radhose,2,138.00,58.00
B100839,2025-05-06,Hamburg,Werkstatt,Inspektion Standard,1,80.10,52.00
B100840,2025-05-06,Hamburg,Zubehör,Fahrradtasche,2,169.10,88.00
B100841,2025-05-06,Köln,Bekleidung,Radhose,1,66.93,29.00
B100842,2025-05-06,Köln,Zubehör,Helm Urban,3,239.70,114.00
B100843,2025-05-06,Köln,Fahrräder,Stadtrad Classic,1,584.10,410.00
B100844,2025-05-06,München,E-Bikes,E-Bike City,1,2499.00,1690.00
B100845,2025-05-06,München,werkstatt,Inspektion Standard,1,86.33,52.00
B100846,2025-05-06,München,E-Bikes,E-Bike City,1,2374.05,1690.00
B100847,2025-05-06,München,Zubehör,Faltschloss,3,170.71,82.50
B100848,2025-05-06,Leipzig,Bekleidung,Radhose,1,66.93,29.00
B100849,2025-05-06,Leipzig,Fahrräder,Trekkingrad Tour,1,827.08,560.00
B100850,2025-05-07,Hamburg,Fahrräder,Kinderrad 20 Zoll,1,329.00,205.00
B100851,2025-05-07,Hamburg,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100852,2025-05-07,Hamburg,Werkstatt,Inspektion Standard,1,84.55,52.00
B100853,2025-05-07,Hamburg,Werkstatt,Inspektion Standard,1,84.55,52.00
B100854,2025-05-07,Köln,Zubehör,Luftpumpe,3,70.96,29.70
B100855,2025-05-07,Köln,Zubehör,Fahrradtasche,3,253.65,132.00
B100856,2025-05-07,Köln,Zubehör,Lichtset LED,2,79.80,33.60
B100857,2025-05-07,Köln,Zubehör,Lichtset LED,1,38.70,16.80
B100858,2025-05-07,München,Fahrräder,Kinderrad 20 Zoll,1,312.55,205.00
B100859,2025-05-07,München,Zubehör,Lichtset LED,3,107.73,50.40
B100860,2025-05-07,München,Zubehör,Faltschloss,3,170.71,82.50
B100861,2025-05-07,München,Zubehör,Helm Urban,1,71.91,38.00
B100862,2025-05-07,Leipzig,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100863,2025-05-07,Leipzig,Zubehör,Helm Urban,2,159.80,76.00
B100864,2025-05-07,Leipzig,Bekleidung,Handschuhe,2,56.81,23.00
B100865,2025-05-08,Hamburg,Fahrräder,Stadtrad Classic,1,649.00,410.00
B100866,2025-05-08,Hamburg,Werkstatt,Inspektion Standard,1,89.00,52.00
B100867,2025-05-08,Hamburg,Zubehör,Fahrradtasche,3,253.65,132.00
B100868,2025-05-08,Köln,Werkstatt,Schlauchwechsel,1,19.90,9.00
B100869,2025-05-08,Köln,Zubehör,Faltschloss,2,119.80,55.00
B100870,2025-05-08,München,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100871,2025-05-08,München,Bekleidung,Regenjacke,2,232.20,122.00
B100872,2025-05-08,Leipzig,Fahrräder,Trekkingrad Tour,1,809.10,560.00
B100873,2025-05-09,Hamburg,Zubehör,Lichtset LED,2,75.81,33.60
B100874,2025-05-09,Hamburg,Zubehör,Lichtset LED,2,75.81,33.60
B100875,2025-05-09,Köln,Werkstatt,Schlauchwechsel,1,17.91,9.00
B100876,2025-05-09,München,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100877,2025-05-09,München,Bekleidung,Handschuhe,2,55.02,23.00
B100878,2025-05-09,München,Zubehör,Fahrradtasche,2,178.00,88.00
B100879,2025-05-09,München,Bekleidung,Radhose,2,131.10,58.00
B100880,2025-05-09,München,E-Bikes,E-Bike Trekking,1,3103.03,2170.00
B100881,2025-05-09,Leipzig,Zubehör,Luftpumpe,1,22.41,9.90
B100882,2025-05-10,Hamburg,Werkstatt,Schlauchwechsel,1,17.91,9.00
B100883,2025-05-10,Hamburg,Bekleidung,Regenjacke,1,125.13,61.00
B100884,2025-05-10,Hamburg,Fahrräder,Trekkingrad Tour,1,809.10,560.00
B100885,2025-05-10,Hamburg,Fahrräder,Trekkingrad Tour,1,854.05,560.00
B100886,2025-05-10,Hamburg,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B100887,2025-05-10,Köln,Fahrräder,Gravelbike Kies,1,1169.10,830.00
B100888,2025-05-10,Köln,Zubehör,Lichtset LED,2,71.82,33.60
B100889,2025-05-10,Köln,Zubehör,Helm Urban,1,79.90,38.00
B100890,2025-05-10,Köln,E-Bikes,E-Bike City,1,2499.00,1690.00
B100891,2025-05-10,Köln,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100892,2025-05-10,München  ,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B100893,2025-05-10,München,Zubehör,Lichtset LED,1,37.90,16.80
B100894,2025-05-10,München,Zubehör,Faltschloss,3,161.73,82.50
B100895,2025-05-10,München,Zubehör,Fahrradtasche,2,160.20,88.00
B100896,2025-05-10,München,Werkstatt,Schlauchwechsel,1,17.91,9.00
B100897,2025-05-10,Leipzig,Zubehör,Lichtset LED,1,39.90,16.80
B100898,2025-05-10,Leipzig,Zubehör,Faltschloss,2,113.81,55.00
B100899,2025-05-12,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B100900,2025-05-12,Hamburg,Werkstatt,Inspektion Standard,1,84.55,52.00
B100901,2025-05-12,Hamburg,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B100902,2025-05-12,Hamburg,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100903,2025-05-12,Köln,zubehör,Lichtset LED,1,39.90,16.80
B100904,2025-05-12,Köln,Zubehör,Faltschloss,2,107.82,55.00
B100905,2025-05-12,Köln,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100906,2025-05-12,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B100907,2025-05-12,München,Zubehör,Lichtset LED,1,37.90,16.80
B100908,2025-05-12,München,Zubehör,Fahrradtasche,3,245.64,132.00
B100909,2025-05-12,München,E-Bikes,E-Bike City,1,2374.05,1690.00
B100910,2025-05-12,Leipzig,Zubehör,Helm Urban,1,71.91,38.00
B100911,2025-05-12,Leipzig  ,Zubehör,Helm Urban,3,239.70,114.00
B100912,2025-05-13,Hamburg,Zubehör,Helm Urban,2,155.01,76.00
B100913,2025-05-13,Hamburg,Zubehör,Helm Urban,3,239.70,114.00
B100914,2025-05-13,Köln,Zubehör,Fahrradtasche,1,89.00,44.00
B100915,2025-05-13,Köln,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100916,2025-05-13,Köln,Fahrräder,Trekkingrad Tour,1,809.10,560.00
B100917,2025-05-13,Köln,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B100918,2025-05-13,München,Bekleidung,Handschuhe,2,58.01,23.00
B100919,2025-05-13,München,Zubehör,Fahrradtasche,2,178.00,88.00
B100920,2025-05-13,München,Zubehör,Fahrradtasche,1,89.00,44.00
B100921,2025-05-13,München,Zubehör,Helm Urban,2,159.80,76.00
B100922,2025-05-13,München,Zubehör,Lichtset LED,3,119.70,50.40
B100923,2025-05-13,Leipzig,Zubehör,Lichtset LED,2,77.41,33.60
B100924,2025-05-13,Leipzig,Bekleidung,Handschuhe,1,26.91,11.50
B100925,2025-05-13,Leipzig,E-Bikes,E-Bike City,1,2374.05,1690.00
B100926,2025-05-14,Hamburg,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B100927,2025-05-14,Hamburg,Zubehör,Helm Urban,1,75.91,38.00
B100928,2025-05-14,Köln ,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100929,2025-05-14,Köln  ,Werkstatt,Inspektion Standard,1,84.55,52.00
B100930,2025-05-14,Köln,Zubehör,Lichtset LED,2,77.41,33.60
B100931,2025-05-14,München,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B100932,2025-05-14,München,Werkstatt,Inspektion Standard,1,80.10,52.00
B100933,2025-05-14,München,Bekleidung,Handschuhe,1,28.40,11.50
B100934,2025-05-14,Leipzig,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100935,2025-05-14,Leipzig,Werkstatt,Inspektion E-Bike,1,134.10,88.00
B100936,2025-05-14,Leipzig,fahrräder,Gravelbike Kies,1,1169.10,830.00
B100937,2025-05-14,Leipzig,Zubehör,Lichtset LED,2,75.81,33.60
B100938,2025-05-15,Hamburg,Werkstatt,Inspektion Standard,1,89.00,52.00
B100939,2025-05-15,Hamburg,Werkstatt,Inspektion Standard,1,89.00,52.00
B100940,2025-05-15,Hamburg,Bekleidung,Radhose,2,138.00,58.00
B100941,2025-05-15,Hamburg ,Fahrräder,Kinderrad 20 Zoll,1,329.00,205.00
B100942,2025-05-15,Köln,E-Bikes,E-Bike Trekking,1,3039.05,2170.00
B100943,2025-05-15,München,Fahrräder,Stadtrad Classic,1,616.55,410.00
B100944,2025-05-15,München,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100945,2025-05-15,München,zubehör,Helm Urban,3,227.72,114.00
B100946,2025-05-15,München,Zubehör,Lichtset LED,3,107.73,50.40
B100947,2025-05-15,München,Zubehör,Luftpumpe,2,45.82,19.80
B100948,2025-05-15,Leipzig,Bekleidung,Handschuhe,2,56.81,23.00
B100949,2025-05-16,Hamburg,Zubehör,Helm Urban,1,75.91,38.00
B100950,2025-05-16,Hamburg,E-Bikes,E-Bike City,1,2374.05,1690.00
B100951,2025-05-16,Hamburg,Zubehör,Lichtset LED,2,77.41,33.60
B100952,2025-05-16,Hamburg,E-Bikes,E-Bike City,1,2499.00,1690.00
B100953,2025-05-16,Köln,fahrräder,Kinderrad 20 Zoll,1,329.00,205.00
B100954,2025-05-16,München,Zubehör,Fahrradtasche,3,253.65,132.00
B100955,2025-05-16,München,Werkstatt,Inspektion E-Bike,1,141.55,88.00
B100956,2025-05-16,München,Fahrräder,Trekkingrad Tour,1,899.00,560.00
B100957,2025-05-16,Leipzig,Werkstatt,Schlauchwechsel,1,17.91,9.00
B100958,2025-05-17,Hamburg,Fahrräder,Kinderrad 20 Zoll,1,319.13,205.00
B100959,2025-05-17,Hamburg,Zubehör,Lichtset LED,1,39.90,16.80
B100960,2025-05-17,Hamburg,Zubehör,Luftpumpe,3,70.96,29.70
B100961,2025-05-17,Hamburg,Fahrräder,Gravelbike Kies,1,1169.10,830.00
B100962,2025-05-17,Köln,Zubehör,Luftpumpe,3,74.70,29.70
B100963,2025-05-17,Köln,Zubehör,Lichtset LED,3,119.70,50.40
B100964,2025-05-17,Köln,Zubehör,Lichtset LED,1,39.90,16.80
B100965,2025-05-17,Köln,Zubehör,Lichtset LED,1,37.90,16.80
B100966,2025-05-17,Köln,Zubehör,Luftpumpe,2,49.80,19.80
B100967,2025-05-17,München,Zubehör,Fahrradtasche,3,267.00,132.00
B100968,2025-05-17,München,Werkstatt,Schlauchwechsel,1,19.30,9.00
B100969,2025-05-17,München,Bekleidung,Regenjacke,2,258.00,122.00
B100970,2025-05-17,München,Bekleidung,Radhose,2,131.10,58.00
B100971,2025-05-17,Leipzig,Zubehör,Faltschloss,1,59.90,27.50
B100972,2025-05-17,Leipzig,Zubehör,Lichtset LED,2,71.82,33.60
B100973,2025-05-17,Leipzig,zubehör,Helm Urban,1,79.90,38.00
B100974,2025-05-17,Leipzig,Fahrräder,Trekkingrad Tour,1,809.10,560.00
B100975,2025-05-19,Hamburg,Zubehör,Luftpumpe,3,74.70,29.70
B100976,2025-05-19,Köln,fahrräder,Stadtrad Classic,1,584.10,410.00
B100977,2025-05-19,München,Zubehör,Luftpumpe,1,23.65,9.90
B100978,2025-05-19,München,E-Bikes,E-Bike Trekking,1,2879.10,2170.00
B100979,2025-05-19,München,werkstatt,Schlauchwechsel,1,19.90,9.00
B100980,2025-05-19,München,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B100981,2025-05-19,München,Zubehör,Faltschloss,3,170.71,82.50
B100982,2025-05-19,München,zubehör,Lichtset LED,2,71.82,33.60
B100983,2025-05-19,Leipzig,Werkstatt,Inspektion Standard,1,86.33,52.00
B100984,2025-05-19,Leipzig,E-Bikes,E-Bike City,1,2249.10,1690.00
B100985,2025-05-19,Leipzig,Zubehör,Lichtset LED,3,113.71,50.40
B100986,2025-05-20,Hamburg,E-Bikes,E-Bike Trekking,1,2879.10,2170.00
B100987,2025-05-20,Hamburg,Fahrräder,Stadtrad Classic,1,584.10,410.00
B100988,2025-05-20,Hamburg,werkstatt,Inspektion Standard,1,86.33,52.00
B100989,2025-05-20,Hamburg,Fahrräder,Kinderrad 20 Zoll,1,319.13,205.00
B100990,2025-05-20,München,Zubehör,Lichtset LED,2,77.41,33.60
B100991,2025-05-20,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B100992,2025-05-20,Leipzig,Zubehör,Luftpumpe,2,49.80,19.80
B100993,2025-05-20,Leipzig,Bekleidung,Regenjacke,1,116.10,61.00
B100994,2025-05-20,Leipzig,Werkstatt,Schlauchwechsel,1,18.90,9.00
B100995,2025-05-20,Leipzig,Zubehör,Helm Urban,1,71.91,38.00
B100996,2025-05-20,Leipzig,e-bikes,E-Lastenrad,1,4740.50,3490.00
B100997,2025-05-21,Hamburg,Zubehör,Lichtset LED,1,37.90,16.80
B100998,2025-05-21,Hamburg,Bekleidung,Regenjacke,2,250.26,122.00
B100999,2025-05-21,Hamburg,Fahrräder,Stadtrad Classic,1,584.10,410.00
B101000,2025-05-21,Köln,Fahrräder,Gravelbike Kies,1,1169.10,830.00
B101001,2025-05-21,Köln,Bekleidung,Handschuhe,1,29.90,11.50
B101002,2025-05-21,Köln,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101003,2025-05-21,Köln,Zubehör,Lichtset LED,2,79.80,33.60
B101004,2025-05-21,Köln,Zubehör,Fahrradtasche,3,253.65,132.00
B101005,2025-05-21,München,Bekleidung,Regenjacke,1,122.55,61.00
B101006,2025-05-21,München,Zubehör,Lichtset LED,1,37.90,16.80
B101007,2025-05-21,München,zubehör,Lichtset LED,1,39.90,16.80
B101008,2025-05-21,München,Zubehör,Faltschloss,1,56.90,27.50
B101009,2025-05-21,München,Zubehör,Fahrradtasche,2,178.00,88.00
B101010,2025-05-21,Leipzig,werkstatt,Schlauchwechsel,1,18.90,9.00
B101011,2025-05-22,Hamburg,Zubehör,Faltschloss,2,113.81,55.00
B101012,2025-05-22,Köln,Zubehör,Faltschloss,3,174.31,82.50
B101013,2025-05-22,Köln,Fahrräder,Stadtrad Classic,1,616.55,410.00
B101014,2025-05-22,Köln,bekleidung,Radhose,1,65.55,29.00
B101015,2025-05-22,Köln,Zubehör,Helm Urban,1,71.91,38.00
B101016,2025-05-22,Köln,Fahrräder,Stadtrad Classic,1,616.55,410.00
B101017,2025-05-22,München,E-Bikes,E-Bike City,1,2499.00,1690.00
B101018,2025-05-22,München,Werkstatt,Inspektion Standard,1,89.00,52.00
B101019,2025-05-22,München,E-Bikes,E-Bike Trekking,1,3199.00,2170.00
B101020,2025-05-22,München,Werkstatt,Inspektion E-Bike,1,149.00,88.00
B101021,2025-05-22,München,E-Bikes,E-Bike Trekking,1,2879.10,2170.00
B101022,2025-05-22,Leipzig,Zubehör,Helm Urban,1,71.91,38.00
B101023,2025-05-22,Leipzig,Zubehör,Faltschloss,2,113.81,55.00
B101024,2025-05-22,Leipzig,Zubehör,Helm Urban,2,159.80,76.00
B101025,2025-05-23,Hamburg,werkstatt,Inspektion Standard,1,86.33,52.00
B101026,2025-05-23,Hamburg,Zubehör,Helm Urban,1,73.51,38.00
B101027,2025-05-23,Hamburg ,Zubehör,Helm Urban,2,159.80,76.00
B101028,2025-05-23,Hamburg,Fahrräder,Trekkingrad Tour,1,809.10,560.00
B101029,2025-05-23,Hamburg,Werkstatt,Inspektion Standard,1,89.00,52.00
